gene,treatment1_mean,treatment2_mean,log2FoldChange,padj,gene_name,gene_def
aaf:AURANDRAFT_2379,1.72958645174654,7.7481131057701,2.15478331298897,NA,NA,aaf:AURANDRAFT_2379  hypothetical protein
aaf:AURANDRAFT_24120,0,0,0,NA,NA,aaf:AURANDRAFT_24120  hypothetical protein
aaf:AURANDRAFT_25033,1.48633690703655,0.515695958350558,-1.51846256356505,NA,NA,aaf:AURANDRAFT_25033  hypothetical protein
aaf:AURANDRAFT_26320,2.22950536055483,0,-3.99827214523729,NA,NA,aaf:AURANDRAFT_26320  hypothetical protein
aaf:AURANDRAFT_27283,19.858012888181,25.1046187025462,0.342314007216669,0.964927691859721,NA,aaf:AURANDRAFT_27283  hypothetical protein
aaf:AURANDRAFT_27396,1.80469224696039,0,-3.70154852722734,NA,NA,aaf:AURANDRAFT_27396  hypothetical protein
aaf:AURANDRAFT_27836,20.7664098005721,24.3393826806891,0.220832355633109,0.97590929559081,NA,aaf:AURANDRAFT_27836  hypothetical protein
aaf:AURANDRAFT_29003,3.49913210117939,0.426028815623719,-2.97486232442412,NA,NA,aaf:AURANDRAFT_29003  hypothetical protein
aaf:AURANDRAFT_29916,4.17580197871336,0,-4.90645541246851,NA,NA,aaf:AURANDRAFT_29916  hypothetical protein
aaf:AURANDRAFT_30784,0,2.32063181257751,3.76752499412547,NA,NA,aaf:AURANDRAFT_30784  hypothetical protein
aaf:AURANDRAFT_32262,0,0,0,NA,NA,aaf:AURANDRAFT_32262  hypothetical protein
aaf:AURANDRAFT_32799,1.20312816464026,0,-3.11630521684323,NA,NA,aaf:AURANDRAFT_32799  hypothetical protein
aaf:AURANDRAFT_33255,6.38363916095501,2.68695128234931,-1.25628563012249,NA,NA,aaf:AURANDRAFT_33255  hypothetical protein
aaf:AURANDRAFT_33640,23.8300155293267,10.6141924256752,-1.16504825768258,0.819461270475073,NA,aaf:AURANDRAFT_33640  hypothetical protein
aaf:AURANDRAFT_33779,3.83541960017167,2.68695128234931,-0.518486226206085,NA,NA,aaf:AURANDRAFT_33779  hypothetical protein
aaf:AURANDRAFT_33964,15.4567433935868,7.29519180195044,-1.09651691259763,0.821157679561289,NA,aaf:AURANDRAFT_33964  hypothetical protein
aaf:AURANDRAFT_34319,0,0,0,NA,NA,aaf:AURANDRAFT_34319  hypothetical protein
aaf:AURANDRAFT_34508,5.26458287106283,0.581742169458343,-3.21866434348181,NA,NA,aaf:AURANDRAFT_34508  hypothetical protein
aaf:AURANDRAFT_34875,10.5411501202952,13.2764285181393,0.341069976904988,0.972939788626206,NA,aaf:AURANDRAFT_34875  HMT1; hypothetical protein
aaf:AURANDRAFT_3749,0.743168453518276,0.581742169458343,-0.344126727357006,NA,NA,aaf:AURANDRAFT_3749  hypothetical protein
aaf:AURANDRAFT_38431,1.80469224696039,0,-3.69998753506293,NA,NA,aaf:AURANDRAFT_38431  hypothetical protein
aaf:AURANDRAFT_38473,1.12802236942641,2.09339864708144,0.859623791375351,NA,NA,aaf:AURANDRAFT_38473  hypothetical protein
aaf:AURANDRAFT_39295,0.601564082320129,2.90871084729172,2.25496971212091,NA,NA,aaf:AURANDRAFT_39295  hypothetical protein
aaf:AURANDRAFT_39500,200.926692291464,216.035936536483,0.102287914848138,0.979305531572736,NA,aaf:AURANDRAFT_39500  hypothetical protein
aaf:AURANDRAFT_456,0,2.06037554152755,3.59371252163044,NA,NA,aaf:AURANDRAFT_456  hypothetical protein
aaf:AURANDRAFT_52124,0,0.581742169458343,1.75938943746563,NA,NA,aaf:AURANDRAFT_52124  CWP2; hypothetical protein
aaf:AURANDRAFT_52678,0,0.515695958350558,1.59569883795978,NA,NA,aaf:AURANDRAFT_52678  hypothetical protein
aaf:AURANDRAFT_52803,13.6134216681055,3.89899151811268,-1.7989961883947,0.610828669814693,NA,aaf:AURANDRAFT_52803  hypothetical protein
aaf:AURANDRAFT_53112,9.73614556071212,0.515695958350558,-4.25144603429541,NA,NA,aaf:AURANDRAFT_53112  hypothetical protein
aaf:AURANDRAFT_54006,37.3328259443861,5.40999097893149,-2.79219030331509,0.080914814089554,NA,aaf:AURANDRAFT_54006  hypothetical protein
aaf:AURANDRAFT_54676,0,0,0,NA,NA,aaf:AURANDRAFT_54676  hypothetical protein
aaf:AURANDRAFT_55076,10.7186188096303,8.6692822568043,-0.3139914237535,NA,NA,aaf:AURANDRAFT_55076  hypothetical protein
aaf:AURANDRAFT_55153,2.63229143553141,0,-4.2470254720149,NA,NA,aaf:AURANDRAFT_55153  hypothetical protein
aaf:AURANDRAFT_55360,2.63193257522673,1.27808644687116,-1.00525601489786,NA,NA,aaf:AURANDRAFT_55360  hypothetical protein
aaf:AURANDRAFT_55597,2.40625632928051,0.581742169458343,-2.10135355567575,NA,NA,aaf:AURANDRAFT_55597  hypothetical protein
aaf:AURANDRAFT_55617,1.20312816464026,0,-3.11557693947084,NA,NA,aaf:AURANDRAFT_55617  hypothetical protein
aaf:AURANDRAFT_5676,0,2.3536549181314,3.78756769661007,NA,NA,aaf:AURANDRAFT_5676  hypothetical protein
aaf:AURANDRAFT_5684,0,0,0,NA,NA,aaf:AURANDRAFT_5684  hypothetical protein
aaf:AURANDRAFT_5814,6.35469348257763,0.581742169458343,-3.5424762677165,NA,NA,aaf:AURANDRAFT_5814  hypothetical protein
aaf:AURANDRAFT_59855,0.526458287106283,4.80703616972878,3.14514442100413,NA,NA,aaf:AURANDRAFT_59855  hypothetical protein
aaf:AURANDRAFT_59920,3.52100900955793,1.94949575905634,-0.849372739100769,NA,NA,aaf:AURANDRAFT_59920  hypothetical protein
aaf:AURANDRAFT_59955,0,0,0,NA,NA,aaf:AURANDRAFT_59955  LHC18; hypothetical protein
aaf:AURANDRAFT_59964,0,0,0,NA,NA,aaf:AURANDRAFT_59964  LHC19; hypothetical protein
aaf:AURANDRAFT_60012,0,2.86759960141156,4.07548804676171,NA,NA,aaf:AURANDRAFT_60012  hypothetical protein
aaf:AURANDRAFT_60069,2.9726738140731,0.515695958350558,-2.52158412305558,NA,NA,aaf:AURANDRAFT_60069  hypothetical protein
aaf:AURANDRAFT_60251,4.66265992843802,0.941724773974277,-2.30114613211711,NA,NA,aaf:AURANDRAFT_60251  hypothetical protein
aaf:AURANDRAFT_60293,0,1.03139191670112,2.59718425389172,NA,NA,aaf:AURANDRAFT_60293  hypothetical protein
aaf:AURANDRAFT_60367,13.0012029267811,23.7209086076381,0.85518826012013,0.840500127024047,NA,aaf:AURANDRAFT_60367  hypothetical protein
aaf:AURANDRAFT_60508,12.3106957697281,22.8891868239883,0.903102927905694,NA,NA,aaf:AURANDRAFT_60508  hypothetical protein
aaf:AURANDRAFT_60533,0,1.49110085468302,3.13523714817245,NA,NA,aaf:AURANDRAFT_60533  expressed protein
aaf:AURANDRAFT_60599,67.7595577898472,45.9461172429632,-0.559082836784814,0.84308232950719,NA,aaf:AURANDRAFT_60599  hypothetical protein
aaf:AURANDRAFT_60628,0,3.76076847853916,4.46098106256533,NA,NA,aaf:AURANDRAFT_60628  hypothetical protein
aaf:AURANDRAFT_60645,1.20312816464026,0,-3.11557171832105,NA,NA,aaf:AURANDRAFT_60645  hypothetical protein
aaf:AURANDRAFT_60695,0,1.27808644687116,2.92183112671239,NA,NA,aaf:AURANDRAFT_60695  hypothetical protein
aaf:AURANDRAFT_60732,31.3913786573641,58.471979265836,0.884414572732794,0.661780158664526,NA,aaf:AURANDRAFT_60732  hypothetical protein
aaf:AURANDRAFT_60763,14.9561067641692,48.2610579888677,1.67820068980794,0.407461962132435,NA,aaf:AURANDRAFT_60763  hypothetical protein
aaf:AURANDRAFT_60766,0.601564082320129,4.33004316538368,2.80622341379606,NA,NA,aaf:AURANDRAFT_60766  hypothetical protein
aaf:AURANDRAFT_60767,1.48633690703655,3.13660102959208,1.1101978009242,NA,NA,aaf:AURANDRAFT_60767  hypothetical protein
aaf:AURANDRAFT_60789,1.48633690703655,4.76853946362122,1.69004758830894,NA,NA,aaf:AURANDRAFT_60789  hypothetical protein
aaf:AURANDRAFT_60799,36.5480097137115,26.9143599223011,-0.442318158998783,0.885915072196329,NA,aaf:AURANDRAFT_60799  hypothetical protein
aaf:AURANDRAFT_60806,6.84395773238167,2.1948762556178,-1.65846864975498,NA,NA,aaf:AURANDRAFT_60806  hypothetical protein
aaf:AURANDRAFT_60916,1.79608502773084,0,-3.69386561836224,NA,NA,aaf:AURANDRAFT_60916  hypothetical protein
aaf:AURANDRAFT_60944,0.743168453518276,0.515695958350558,-0.508439481152805,NA,NA,aaf:AURANDRAFT_60944  hypothetical protein
aaf:AURANDRAFT_60953,11.7694879440681,4.30139940211735,-1.453322094445,NA,NA,aaf:AURANDRAFT_60953  hypothetical protein
aaf:AURANDRAFT_60990,1.84260400487199,0,-3.74458165798226,NA,NA,aaf:AURANDRAFT_60990  hypothetical protein
aaf:AURANDRAFT_61110,11.6648688801069,8.90175802929013,-0.388452804062131,NA,NA,aaf:AURANDRAFT_61110  hypothetical protein
aaf:AURANDRAFT_61124,0,1.24440632451298,2.86942005753904,NA,NA,aaf:AURANDRAFT_61124  hypothetical protein
aaf:AURANDRAFT_61222,4.2109485762409,0,-4.92164152268124,NA,NA,aaf:AURANDRAFT_61222  expressed protein
aaf:AURANDRAFT_61342,0,1.49110085468302,3.13638822621265,NA,NA,aaf:AURANDRAFT_61342  hypothetical protein
aaf:AURANDRAFT_61393,19.2630085853158,19.5548731843132,0.024824449432979,0.997335722603723,NA,aaf:AURANDRAFT_61393  hypothetical protein
aaf:AURANDRAFT_61403,0,0,0,NA,NA,aaf:AURANDRAFT_61403  hypothetical protein
aaf:AURANDRAFT_61422,0.526458287106283,0,-1.95766265970999,NA,NA,aaf:AURANDRAFT_61422  hypothetical protein
aaf:AURANDRAFT_61438,26.320761193486,10.6625173289579,-1.3058102710412,NA,NA,aaf:AURANDRAFT_61438  hypothetical protein
aaf:AURANDRAFT_61461,17.1018991102806,19.1822168492856,0.161467249113827,0.984711978964015,NA,aaf:AURANDRAFT_61461  hypothetical protein
aaf:AURANDRAFT_61479,4.45901072110966,0,-5.00095313546555,NA,NA,aaf:AURANDRAFT_61479  hypothetical protein
aaf:AURANDRAFT_61493,1.57937486131885,13.385788019104,3.04559828774559,NA,NA,aaf:AURANDRAFT_61493  hypothetical protein
aaf:AURANDRAFT_61510,39.3568433879033,116.190766278411,1.56698445675669,0.236456163518616,NA,aaf:AURANDRAFT_61510  hypothetical protein
aaf:AURANDRAFT_61634,3.43263352519509,0.257847979175279,-3.66118458476487,NA,NA,aaf:AURANDRAFT_61634  hypothetical protein
aaf:AURANDRAFT_61641,0.743168453518276,2.06278383340223,1.50710541053506,NA,NA,aaf:AURANDRAFT_61641  hypothetical protein
aaf:AURANDRAFT_61820,125.362430298457,161.272059776727,0.359913037376046,0.926525133669192,NA,aaf:AURANDRAFT_61820  hypothetical protein
aaf:AURANDRAFT_61842,2.85760882117295,5.35028163307956,0.895779865516981,NA,NA,aaf:AURANDRAFT_61842  hypothetical protein
aaf:AURANDRAFT_61877,3.76031380495782,11.6497326910999,1.6094529672781,0.839851903691668,NA,aaf:AURANDRAFT_61877  hypothetical protein
aaf:AURANDRAFT_61959,2.83106944287496,6.76659111952424,1.29177641831289,NA,NA,aaf:AURANDRAFT_61959  hypothetical protein
aaf:AURANDRAFT_62022,0,0,0,NA,NA,aaf:AURANDRAFT_62022  hypothetical protein
aaf:AURANDRAFT_62030,0,0,0,NA,NA,aaf:AURANDRAFT_62030  hypothetical protein
aaf:AURANDRAFT_62090,0.601564082320129,0.581742169458343,-0.109912793979071,NA,NA,aaf:AURANDRAFT_62090  hypothetical protein
aaf:AURANDRAFT_62101,7.64394096174066,1.94949575905634,-1.96632258477964,NA,NA,aaf:AURANDRAFT_62101  hypothetical protein
aaf:AURANDRAFT_62132,9.16593345684875,0,-6.03817908830229,NA,NA,aaf:AURANDRAFT_62132  hypothetical protein
aaf:AURANDRAFT_62142,0,1.03139191670112,2.59717899870215,NA,NA,aaf:AURANDRAFT_62142  hypothetical protein
aaf:AURANDRAFT_62243,5.79104115816911,0.515695958350558,-3.49246363648935,NA,NA,aaf:AURANDRAFT_62243  hypothetical protein
aaf:AURANDRAFT_62247,0,0.852057631247439,2.34663762454617,NA,NA,aaf:AURANDRAFT_62247  hypothetical protein
aaf:AURANDRAFT_62264,15.7917455815997,3.16153599481971,-2.30339995103726,NA,NA,aaf:AURANDRAFT_62264  hypothetical protein
aaf:AURANDRAFT_62291,7.91818362460273,6.64565214631391,-0.247903990131553,NA,NA,aaf:AURANDRAFT_62291  hypothetical protein
aaf:AURANDRAFT_62322,1.6412109673837,0,-3.55870013246896,NA,NA,aaf:AURANDRAFT_62322  hypothetical protein
aaf:AURANDRAFT_62349,3.57423789639323,0,-4.68082224769053,NA,NA,aaf:AURANDRAFT_62349  hypothetical protein
aaf:AURANDRAFT_62497,17.0709059921285,17.1701774292622,0.002733240541806,1,NA,aaf:AURANDRAFT_62497  hypothetical protein
aaf:AURANDRAFT_62534,58.3657976392655,54.9659799303486,-0.089383289570482,0.986290811593067,NA,aaf:AURANDRAFT_62534  hypothetical protein
aaf:AURANDRAFT_62538,2.32254331483712,1.70411526249488,-0.437034565284642,NA,NA,aaf:AURANDRAFT_62538  hypothetical protein
aaf:AURANDRAFT_62671,0,0,0,NA,NA,aaf:AURANDRAFT_62671  hypothetical protein
aaf:AURANDRAFT_62682,0.601564082320129,1.74522650837503,1.52802930390828,NA,NA,aaf:AURANDRAFT_62682  hypothetical protein
aaf:AURANDRAFT_62704,0,0,0,NA,NA,aaf:AURANDRAFT_62704  hypothetical protein
aaf:AURANDRAFT_62819,8.96044553981105,23.6741039858618,1.38756326142026,0.591632738280268,NA,aaf:AURANDRAFT_62819  hypothetical protein
aaf:AURANDRAFT_62875,1.80469224696039,3.09417575010335,0.776311575863829,NA,NA,aaf:AURANDRAFT_62875  hypothetical protein
aaf:AURANDRAFT_62913,1.95526269769276,2.64452600286058,0.396523962231283,NA,NA,aaf:AURANDRAFT_62913  hypothetical protein
aaf:AURANDRAFT_62926,0.743168453518276,0.257847979175279,-1.39760902331699,NA,NA,aaf:AURANDRAFT_62926  hypothetical protein
aaf:AURANDRAFT_62966,5.64011184713206,4.83940225847838,-0.231722062997367,NA,NA,aaf:AURANDRAFT_62966  hypothetical protein
aaf:AURANDRAFT_62979,2.18093894363898,4.20408136052607,0.919624098913146,NA,NA,aaf:AURANDRAFT_62979  hypothetical protein
aaf:AURANDRAFT_63045,0.601564082320129,0,-2.11743856985212,NA,NA,aaf:AURANDRAFT_63045  hypothetical protein
aaf:AURANDRAFT_63054,23.0034929216697,25.8703078025328,0.182487792098959,0.980223673004561,NA,aaf:AURANDRAFT_63054  hypothetical protein
aaf:AURANDRAFT_63082,6.09146433902449,9.26022035229957,0.587805564290178,0.946347358409016,NA,aaf:AURANDRAFT_63082  hypothetical protein
aaf:AURANDRAFT_63122,5.37893014335362,1.42133231809197,-1.94362111337802,NA,NA,aaf:AURANDRAFT_63122  hypothetical protein
aaf:AURANDRAFT_63144,0,0.852057631247439,2.33182751946521,NA,NA,aaf:AURANDRAFT_63144  hypothetical protein
aaf:AURANDRAFT_63156,3.1587497226377,8.26818840640821,1.37065893349945,NA,NA,aaf:AURANDRAFT_63156  hypothetical protein
aaf:AURANDRAFT_63201,2.84900160194341,7.21492683315844,1.3235947107586,NA,NA,aaf:AURANDRAFT_63201  hypothetical protein
aaf:AURANDRAFT_63241,5.9412527485968,4.77467008097917,-0.324816364019421,NA,NA,aaf:AURANDRAFT_63241  hypothetical protein
aaf:AURANDRAFT_63258,0.601564082320129,4.01227959245857,2.72536305298018,NA,NA,aaf:AURANDRAFT_63258  hypothetical protein
aaf:AURANDRAFT_63286,1.20312816464026,0,-3.11724554414742,NA,NA,aaf:AURANDRAFT_63286  hypothetical protein
aaf:AURANDRAFT_63300,1.48633690703655,1.80493585422695,0.288555301960252,NA,NA,aaf:AURANDRAFT_63300  hypothetical protein
aaf:AURANDRAFT_63322,12.1078228828351,0.426028815623719,-4.75978502108203,NA,NA,aaf:AURANDRAFT_63322  hypothetical protein
aaf:AURANDRAFT_63327,1.12802236942641,2.77661842507615,1.29213090819532,NA,NA,aaf:AURANDRAFT_63327  hypothetical protein
aaf:AURANDRAFT_63401,1.05291657421257,0,-2.93044506090112,NA,NA,aaf:AURANDRAFT_63401  hypothetical protein
aaf:AURANDRAFT_63471,0.526458287106283,1.45742073232484,1.41999005981838,NA,NA,aaf:AURANDRAFT_63471  hypothetical protein
aaf:AURANDRAFT_63504,19.3289981707561,15.1887416046967,-0.349748492050534,0.973464207686838,NA,aaf:AURANDRAFT_63504  hypothetical protein
aaf:AURANDRAFT_63512,37.3346788457356,36.4013897260795,-0.038298909626256,0.996176117999233,NA,aaf:AURANDRAFT_63512  hypothetical protein
aaf:AURANDRAFT_63527,22.4057234584204,11.6757619145937,-0.938958998032652,0.902456742621828,NA,aaf:AURANDRAFT_63527  hypothetical protein
aaf:AURANDRAFT_63553,143.688232231603,123.411563371252,-0.217705335742395,0.926525133669192,NA,aaf:AURANDRAFT_63553  hypothetical protein
aaf:AURANDRAFT_63577,0.789687430659424,0,-2.52582916283447,NA,NA,aaf:AURANDRAFT_63577  hypothetical protein
aaf:AURANDRAFT_63613,193.849619205234,193.05360245607,-0.008386928189455,0.998516089232501,NA,aaf:AURANDRAFT_63613  hypothetical protein
aaf:AURANDRAFT_63641,0.743168453518276,5.67265554185614,2.95320682743201,NA,NA,aaf:AURANDRAFT_63641  hypothetical protein
aaf:AURANDRAFT_63668,0,0,0,NA,NA,aaf:AURANDRAFT_63668  hypothetical protein
aaf:AURANDRAFT_63717,2.9992131923711,1.88344954794855,-0.668079920277876,NA,NA,aaf:AURANDRAFT_63717  expressed protein
aaf:AURANDRAFT_63725,2.08790098935668,0.581742169458343,-1.86812038912622,NA,NA,aaf:AURANDRAFT_63725  hypothetical protein
aaf:AURANDRAFT_63816,21.3173014263756,19.7208767224509,-0.109294140465277,0.993393732243991,NA,aaf:AURANDRAFT_63816  hypothetical protein
aaf:AURANDRAFT_63842,687.954640646265,301.267350043589,-1.18819797216182,0.002276895267443,NA,aaf:AURANDRAFT_63842  hypothetical protein
aaf:AURANDRAFT_63867,330.947661969571,530.68208302634,0.680054561608606,0.081940322860841,NA,aaf:AURANDRAFT_63867  hypothetical protein
aaf:AURANDRAFT_6387,1.57937486131885,0,-3.53368299588289,NA,NA,aaf:AURANDRAFT_6387  hypothetical protein
aaf:AURANDRAFT_63886,1.72958645174654,3.67591791956169,1.0720081847664,NA,NA,aaf:AURANDRAFT_63886  expressed protein
aaf:AURANDRAFT_63994,37.2765787589155,20.4235578651196,-0.868992586980184,0.860691622557762,NA,aaf:AURANDRAFT_63994  hypothetical protein
aaf:AURANDRAFT_64100,67.8418966769393,55.3534985124202,-0.30209227931003,0.93549213980065,NA,aaf:AURANDRAFT_64100  hypothetical protein
aaf:AURANDRAFT_64229,0,0,0,NA,NA,aaf:AURANDRAFT_64229  hypothetical protein
aaf:AURANDRAFT_64252,10.5611297191384,3.0705548184843,-1.77965722039607,NA,NA,aaf:AURANDRAFT_64252  hypothetical protein
aaf:AURANDRAFT_64364,30.6650071821742,40.4663712548852,0.406138472230947,0.919249954826996,NA,aaf:AURANDRAFT_64364  hypothetical protein
aaf:AURANDRAFT_64385,0,2.57847979175279,3.91956504218589,NA,NA,aaf:AURANDRAFT_64385  hypothetical protein
aaf:AURANDRAFT_64390,19.1791454406331,13.32628492115,-0.537171320434143,0.941663034794725,NA,aaf:AURANDRAFT_64390  hypothetical protein
aaf:AURANDRAFT_64469,4.24230055469766,0.581742169458343,-2.90938710214054,NA,NA,aaf:AURANDRAFT_64469  hypothetical protein
aaf:AURANDRAFT_64519,76.5549250010247,45.5716961054206,-0.745737361252602,0.716059468515652,NA,aaf:AURANDRAFT_64519  hypothetical protein
aaf:AURANDRAFT_64531,1.05291657421257,0.426028815623719,-1.29264389659041,NA,NA,aaf:AURANDRAFT_64531  hypothetical protein
aaf:AURANDRAFT_64574,6.09110547871981,1.16348433891669,-2.46224019212642,0.656377626045951,NA,aaf:AURANDRAFT_64574  hypothetical protein
aaf:AURANDRAFT_64607,41.8242767024653,21.496924292403,-0.968698987425518,0.764458456610297,NA,aaf:AURANDRAFT_64607  hypothetical protein
aaf:AURANDRAFT_64629,1.57937486131885,0,-3.51247307181559,NA,NA,aaf:AURANDRAFT_64629  hypothetical protein
aaf:AURANDRAFT_64736,0,0,0,NA,NA,aaf:AURANDRAFT_64736  hypothetical protein
aaf:AURANDRAFT_64760,0,0.515695958350558,1.59552380191689,NA,NA,aaf:AURANDRAFT_64760  hypothetical protein
aaf:AURANDRAFT_64789,14.0954084178453,1.03139191670112,-3.7787815747958,0.279140998503435,NA,aaf:AURANDRAFT_64789  hypothetical protein
aaf:AURANDRAFT_64836,0,2.01554197016413,3.56380619955299,NA,NA,aaf:AURANDRAFT_64836  hypothetical protein
aaf:AURANDRAFT_64860,18.3313579231535,16.0119356973353,-0.192122738395393,0.988693991050587,NA,aaf:AURANDRAFT_64860  hypothetical protein
aaf:AURANDRAFT_64875,5.48129303747482,5.75137548347565,0.035591301060765,0.998606880108725,NA,aaf:AURANDRAFT_64875  hypothetical protein
aaf:AURANDRAFT_64884,1.65448065653269,4.19292791152083,1.33063897532689,NA,NA,aaf:AURANDRAFT_64884  hypothetical protein
aaf:AURANDRAFT_64893,13.3722195631702,12.0258915762684,-0.148882274105955,0.990928564292154,NA,aaf:AURANDRAFT_64893  hypothetical protein
aaf:AURANDRAFT_64907,7.73267530640819,6.47134069250752,-0.277869870577109,0.980605376650271,NA,aaf:AURANDRAFT_64907  hypothetical protein
aaf:AURANDRAFT_64988,32.3837888446772,9.38618215715719,-1.80548457636126,0.24030945666907,NA,aaf:AURANDRAFT_64988  hypothetical protein
aaf:AURANDRAFT_65138,0,0,0,NA,NA,aaf:AURANDRAFT_65138  hypothetical protein
aaf:AURANDRAFT_65185,5.02994054558238,0.941724773974277,-2.40511664989003,NA,NA,aaf:AURANDRAFT_65185  hypothetical protein
aaf:AURANDRAFT_65191,0,0,0,NA,NA,aaf:AURANDRAFT_65191  hypothetical protein
aaf:AURANDRAFT_65215,5.06057480342978,4.1679929462932,-0.2630372778629,NA,NA,aaf:AURANDRAFT_65215  hypothetical protein
aaf:AURANDRAFT_65270,19.1542946418051,7.19743651889734,-1.40779099475841,0.870895094085279,NA,aaf:AURANDRAFT_65270  hypothetical protein
aaf:AURANDRAFT_65305,11.0104347712561,6.92230447335887,-0.668292542062062,0.921892970529439,NA,aaf:AURANDRAFT_65305  hypothetical protein
aaf:AURANDRAFT_65425,0,0,0,NA,NA,aaf:AURANDRAFT_65425  hypothetical protein
aaf:AURANDRAFT_65479,0.371584226759138,0.515695958350558,0.634634844675229,NA,NA,aaf:AURANDRAFT_65479  hypothetical protein
aaf:AURANDRAFT_65513,0.601564082320129,0,-2.11718958271985,NA,NA,aaf:AURANDRAFT_65513  hypothetical protein
aaf:AURANDRAFT_65518,8.63932503950315,6.84881361128455,-0.344894255881778,NA,NA,aaf:AURANDRAFT_65518  hypothetical protein
aaf:AURANDRAFT_65554,4.3153589101368,9.20684787170351,1.07174747848186,0.850158333939863,NA,aaf:AURANDRAFT_65554  hypothetical protein
aaf:AURANDRAFT_65582,30.1871739118098,18.8051811719704,-0.68884067134501,0.865758657060756,NA,aaf:AURANDRAFT_65582  hypothetical protein
aaf:AURANDRAFT_65588,71.1057016626161,44.4626808145892,-0.672720658569143,0.879080248088401,NA,aaf:AURANDRAFT_65588  hypothetical protein
aaf:AURANDRAFT_65611,6.61136284667593,2.06278383340223,-1.68042252150341,NA,NA,aaf:AURANDRAFT_65611  hypothetical protein
aaf:AURANDRAFT_65616,11.3061954821921,8.86655762542546,-0.348135091158064,NA,NA,aaf:AURANDRAFT_65616  hypothetical protein
aaf:AURANDRAFT_65664,4.24230055469766,3.67591791956169,-0.199223711713982,NA,NA,aaf:AURANDRAFT_65664  hypothetical protein
aaf:AURANDRAFT_65670,0.601564082320129,3.29362841703528,2.44679081732549,NA,NA,aaf:AURANDRAFT_65670  hypothetical protein
